ID,Gender,Status,TotalDollarValueTraded,TotalUnitsTraded,Offer Accepted,Offer Cost
212,M,S,0,0,5 Free Trades and Consult,50
217,F,M,0,0,5 Free Trades and Consult,50
219,F,M,2840.28,24,5 Free Trades,20
221,F,M,1030.1,83,5 Free Trades,20
225,F,M,22202.22,82,5 Free Trades and Consult,50
235,F,M,13961.4,96,2 Free Trades,10
236,F,M,21002.1,6,5 Free Trades and Consult,50
241,F,S,3670.37,25,5 Free Trades,20
249,F,M,12401.24,89,5 Free Trades and Consult,50
253,M,S,5030.5,76,5 Free Trades and Consult,50
258,F,M,18601.86,8,2 Free Trades,10
261,F,S,13351.34,8,5 Free Trades and Consult,50
263,F,M,28702.87,60,5 Free Trades and Consult,50
273,F,S,21332.13,87,2 Free Trades,10
275,M,S,18021.8,136,5 Free Trades and Consult,50
292,F,M,26492.65,12,5 Free Trades and Consult,50
293,F,S,13191.32,87,5 Free Trades and Consult,50
300,F,M,3280.33,11,5 Free Trades and Consult,50
306,F,S,18311.83,59,2 Free Trades,10
308,F,M,26912.69,9,5 Free Trades and Consult,50
318,M,M,8210.82,45,5 Free Trades,20
324,F,M,22862.29,16,5 Free Trades and Consult,50
330,M,S,25532.55,179,5 Free Trades and Consult,50
353,M,M,27422.74,23,5 Free Trades and Consult,50
354,M,M,11961.2,25,5 Free Trades and Consult,50
358,M,M,29432.94,10,2 Free Trades,10
362,F,S,11911.19,95,2 Free Trades,10
368,F,M,25942.59,32,5 Free Trades and Consult,50
374,F,M,25872.59,68,5 Free Trades and Consult,50
382,F,M,5830.58,63,5 Free Trades,20
385,F,S,22432.24,41,2 Free Trades,10
393,F,M,25002.5,10,2 Free Trades,10
395,M,M,3930.39,26,5 Free Trades and Consult,50
396,M,M,17481.75,39,5 Free Trades and Consult,50
400,F,S,22822.28,63,2 Free Trades,10
403,F,S,20152.02,37,5 Free Trades and Consult,50
406,F,S,2020.2,36,5 Free Trades,20
407,F,M,7940.79,65,5 Free Trades and Consult,50
408,F,S,14941.49,149,5 Free Trades,20
417,F,M,23702.37,126,2 Free Trades,10
421,M,S,8320.83,55,5 Free Trades,20
422,M,S,14271.43,45,2 Free Trades,10
424,F,S,12341.23,7,5 Free Trades and Consult,50
426,M,M,22242.22,64,2 Free Trades,10
427,F,S,14391.44,8,2 Free Trades,10
432,F,M,8740.87,22,5 Free Trades,20
433,F,M,21942.19,256,5 Free Trades and Consult,50
435,M,M,7700.77,43,5 Free Trades,20
445,M,M,15271.53,25,5 Free Trades and Consult,50
452,F,M,6690.67,43,5 Free Trades and Consult,50
453,M,S,6970.7,184,5 Free Trades,20
457,F,M,0,0,5 Free Trades and Consult,50
460,F,S,25032.5,54,2 Free Trades,10
461,F,S,20012,84,2 Free Trades,10
472,F,M,24392.44,60,5 Free Trades and Consult,50
474,F,M,27392.74,51,2 Free Trades,10
481,F,M,21872.19,192,2 Free Trades,10
497,F,M,1030.1,83,5 Free Trades,20
506,F,S,26002.6,61,5 Free Trades,20
508,F,S,33003.3,9,5 Free Trades and Consult,50
510,F,S,28452.85,106,2 Free Trades,10
513,F,M,29492.95,13,2 Free Trades,10
516,M,M,11811.18,5,5 Free Trades and Consult,50
517,F,S,3670.37,25,5 Free Trades and Consult,50
523,M,S,2000.2,43,5 Free Trades and Consult,50
527,F,M,12861.29,18,2 Free Trades,10
530,F,M,21412.14,85,5 Free Trades and Consult,50
531,F,S,3010.3,37,5 Free Trades,20
535,M,M,20832.08,117,5 Free Trades and Consult,50
543,M,S,0,0,5 Free Trades and Consult,50
554,M,M,6890.69,6,5 Free Trades,20
556,M,M,29782.98,45,5 Free Trades and Consult,50
558,M,S,26132.61,32,5 Free Trades and Consult,50
560,M,M,12451.25,46,5 Free Trades and Consult,50
566,M,M,22392.24,178,2 Free Trades,10
568,F,S,22172.22,13,5 Free Trades and Consult,50
572,F,M,13321.33,56,2 Free Trades,10
578,F,M,3280.33,11,5 Free Trades and Consult,50
581,M,S,21372.14,293,5 Free Trades and Consult,50
583,F,M,12371.24,163,2 Free Trades,10
586,F,M,20452.05,39,5 Free Trades and Consult,50
589,F,D,23762.38,50,5 Free Trades and Consult,50
591,F,S,20972.1,13,2 Free Trades,10
592,F,S,11701.17,47,2 Free Trades,10
600,M,S,16211.62,125,5 Free Trades and Consult,50
603,F,M,20532.05,41,5 Free Trades and Consult,50
614,F,M,27722.77,57,2 Free Trades,10
615,M,M,3040.3,44,5 Free Trades,20
616,F,S,22152.22,34,2 Free Trades,10
625,M,M,26992.7,13,2 Free Trades,10
629,F,S,2010.2,150,5 Free Trades,20
631,F,S,29922.99,8,2 Free Trades,10
632,M,M,680.07,10,5 Free Trades and Consult,50
634,M,M,11961.2,25,5 Free Trades and Consult,50
636,F,S,23232.32,80,5 Free Trades and Consult,50
642,F,S,11911.19,95,5 Free Trades and Consult,50
645,F,M,23282.33,168,2 Free Trades,10
648,F,M,25942.59,32,2 Free Trades,10
653,F,M,29642.96,90,2 Free Trades,10
654,M,D,24072.41,27,5 Free Trades and Consult,50
660,F,M,4910.49,6,5 Free Trades and Consult,50
661,F,S,2200.22,9,5 Free Trades and Consult,50
664,F,M,6080.61,30,5 Free Trades,20
666,F,S,22432.24,41,2 Free Trades,10
669,M,M,13561.36,144,5 Free Trades and Consult,50
670,F,M,10911.09,93,5 Free Trades,20
673,F,M,13721.37,11,5 Free Trades and Consult,50
680,M,M,5720.57,25,5 Free Trades and Consult,50
684,F,M,0,0,5 Free Trades and Consult,50
696,F,M,10811.08,13,5 Free Trades and Consult,50
701,F,S,1460.15,43,5 Free Trades and Consult,50
702,F,M,11551.16,48,5 Free Trades and Consult,50
703,F,M,11701.17,28,5 Free Trades and Consult,50
707,M,S,18461.85,20,5 Free Trades and Consult,50
709,M,M,28922.89,45,5 Free Trades and Consult,50
712,F,M,23702.37,126,2 Free Trades,10
716,M,S,20412.04,80,5 Free Trades and Consult,50
720,M,S,9570.96,111,5 Free Trades and Consult,50
722,F,S,22992.3,65,2 Free Trades,10
728,F,S,5970.6,27,5 Free Trades and Consult,50
738,F,M,13931.39,78,2 Free Trades,10
741,F,S,28422.84,113,5 Free Trades and Consult,50
743,M,S,14421.44,73,5 Free Trades and Consult,50
745,M,M,16201.62,18,2 Free Trades,10
752,M,M,15271.53,25,5 Free Trades and Consult,50
759,F,M,6690.67,43,5 Free Trades and Consult,50
760,M,S,6970.7,184,5 Free Trades,20
761,F,M,6700.67,46,5 Free Trades and Consult,50
764,F,M,0,0,5 Free Trades and Consult,50
767,F,S,25032.5,54,2 Free Trades,10
771,M,M,6900.69,128,5 Free Trades,20
772,F,M,0,0,5 Free Trades and Consult,50
774,M,M,21682.17,17,5 Free Trades and Consult,50
777,F,M,0,0,5 Free Trades and Consult,50
782,F,S,20442.04,100,5 Free Trades and Consult,50
784,F,M,19241.92,118,2 Free Trades,10
785,F,M,17011.7,27,5 Free Trades,20
791,F,S,17491.75,106,2 Free Trades,10
795,M,M,9900.99,8,5 Free Trades,20
796,M,M,5590.56,23,5 Free Trades,20
800,F,M,30003,160,2 Free Trades,10
804,M,S,3760.38,5,5 Free Trades,20
809,F,S,32003.2,99,5 Free Trades and Consult,50
810,F,M,39003.9,26,2 Free Trades,10
812,F,S,43004.3,61,2 Free Trades,10
813,F,S,39003.9,35,5 Free Trades,20
817,F,M,13961.4,96,2 Free Trades,10
820,F,S,14001.4,88,2 Free Trades,10
826,M,M,2000.2,40,5 Free Trades,20
829,M,S,1000.1,43,5 Free Trades,20
831,F,M,12401.24,89,2 Free Trades,10
833,F,M,12861.29,18,2 Free Trades,10
836,F,M,21412.14,85,5 Free Trades and Consult,50
840,F,M,18601.86,8,2 Free Trades,10
843,F,S,13351.34,8,2 Free Trades,10
854,F,M,7740.77,6,5 Free Trades,20
855,F,S,21332.13,87,2 Free Trades,10
860,M,M,2800.28,11,5 Free Trades and Consult,50
864,M,S,26132.61,32,5 Free Trades and Consult,50
871,F,M,17441.74,49,2 Free Trades,10
876,F,S,26492.65,12,5 Free Trades and Consult,50
878,F,M,13321.33,56,2 Free Trades,10
879,M,S,11541.15,22,5 Free Trades and Consult,50
880,F,S,14831.48,25,2 Free Trades,10
882,F,M,16791.68,81,5 Free Trades and Consult,50
885,F,S,11051.11,50,5 Free Trades and Consult,50
886,M,S,21372.14,293,2 Free Trades,10
887,F,M,0,0,5 Free Trades and Consult,50
899,F,M,18851.89,31,5 Free Trades and Consult,50
909,M,M,2150.22,85,5 Free Trades and Consult,50
914,M,S,25532.55,179,2 Free Trades,10
915,F,S,27972.8,58,5 Free Trades and Consult,50
918,F,M,27722.77,57,5 Free Trades,20
919,M,M,3040.3,44,5 Free Trades,20
922,F,S,0,0,5 Free Trades and Consult,50
937,M,M,680.07,10,5 Free Trades and Consult,50
939,M,M,11961.2,25,2 Free Trades,10
942,M,M,10361.04,57,5 Free Trades,20
947,F,S,11911.19,95,5 Free Trades and Consult,50
948,M,M,21812.18,29,2 Free Trades,10
953,F,S,20712.07,23,5 Free Trades and Consult,50
956,M,M,7670.77,32,5 Free Trades and Consult,50
959,F,M,25872.59,68,2 Free Trades,10
960,M,M,15251.53,70,2 Free Trades,10
969,F,S,22432.24,41,5 Free Trades and Consult,50
971,F,M,17581.76,8,2 Free Trades,10
972,M,M,13561.36,144,5 Free Trades and Consult,50
979,M,M,3930.39,26,5 Free Trades and Consult,50
989,F,S,2020.2,36,5 Free Trades,20
999,F,M,23702.37,126,2 Free Trades,10
1004,M,S,14271.43,45,5 Free Trades and Consult,50
1005,F,S,22992.3,65,2 Free Trades,10
1006,F,S,12341.23,7,5 Free Trades and Consult,50
1008,M,M,22242.22,64,5 Free Trades and Consult,50
1009,F,S,14391.44,8,2 Free Trades,10
1010,F,S,29672.97,99,2 Free Trades,10
1015,F,M,21942.19,256,5 Free Trades and Consult,50
1018,M,S,14421.44,73,5 Free Trades and Consult,50
1023,F,M,17371.74,51,2 Free Trades,10
1029,F,D,18941.89,25,2 Free Trades,10
1034,F,S,27282.73,93,2 Free Trades,10
1046,M,M,21682.17,17,2 Free Trades,10
1047,F,M,43004.3,8,5 Free Trades and Consult,50
1053,M,M,3000.3,65,5 Free Trades and Consult,50
1054,F,M,19241.92,118,5 Free Trades and Consult,50
1055,F,M,17011.7,27,2 Free Trades,10
1056,F,S,10871.09,32,2 Free Trades,10
1058,F,M,8650.87,77,5 Free Trades,20
1066,M,S,5590.56,23,5 Free Trades,20
1068,M,M,27702.77,124,2 Free Trades,10
1073,F,M,1030.1,83,5 Free Trades,20
1074,M,S,3760.38,5,5 Free Trades and Consult,50
1078,M,M,11721.17,5,2 Free Trades,10
1079,M,M,8560.86,99,5 Free Trades,20
1081,F,S,45004.5,154,2 Free Trades,10
1084,F,S,14001.4,9,2 Free Trades,10
1085,F,S,25772.58,38,2 Free Trades,10
1086,F,S,28452.85,106,2 Free Trades,10
1087,F,M,13961.4,96,5 Free Trades and Consult,50
1088,F,M,21002.1,6,2 Free Trades,10
1090,F,S,14001.4,88,2 Free Trades,10
1105,M,S,5030.5,76,5 Free Trades,20
1108,F,S,20922.09,9,5 Free Trades and Consult,50
1120,M,S,29112.91,9,2 Free Trades,10
1123,F,M,16141.61,126,2 Free Trades,10
1125,F,M,7740.77,6,5 Free Trades and Consult,50
1128,M,D,18021.8,136,2 Free Trades,10
1134,M,M,20222.02,13,2 Free Trades,10
1138,M,M,22392.24,178,2 Free Trades,10
1144,M,S,16041.6,10,5 Free Trades and Consult,50
1154,F,S,22662.27,27,5 Free Trades and Consult,50
1157,M,M,26992.7,13,5 Free Trades and Consult,50
1165,M,M,29432.94,10,2 Free Trades,10
1169,F,M,29642.96,90,5 Free Trades and Consult,50
1175,F,M,10911.09,93,5 Free Trades and Consult,50
1181,M,M,17481.75,39,5 Free Trades and Consult,50
1191,F,S,18941.89,25,2 Free Trades,10
1195,F,M,690.07,112,5 Free Trades and Consult,50
1196,M,M,0,0,5 Free Trades and Consult,50
1203,F,M,15321.53,6,5 Free Trades and Consult,50
1206,F,M,11141.11,12,5 Free Trades and Consult,50
1207,F,M,2400.24,50,5 Free Trades and Consult,50
1216,M,S,3760.38,5,5 Free Trades,20
1226,F,S,14001.4,9,5 Free Trades and Consult,50
1228,F,S,28452.85,106,2 Free Trades,10
1231,F,M,29492.95,13,5 Free Trades and Consult,50
1234,M,M,5000.5,40,5 Free Trades and Consult,50
1243,F,M,18601.86,8,2 Free Trades,10
1244,M,M,20832.08,117,2 Free Trades,10
1246,F,S,13351.34,8,2 Free Trades,10
1248,F,M,28702.87,60,2 Free Trades,10
1250,M,S,28822.88,97,5 Free Trades and Consult,50
1254,F,S,23502.35,10,2 Free Trades,10
1256,M,M,16021.6,114,5 Free Trades and Consult,50
1260,M,S,18021.8,136,5 Free Trades and Consult,50
1266,M,S,9380.94,38,5 Free Trades and Consult,50
1270,M,S,11541.15,22,2 Free Trades,10
1280,F,M,29862.99,52,5 Free Trades and Consult,50
1287,F,S,3750.38,11,5 Free Trades,20
1290,M,M,22792.28,20,5 Free Trades and Consult,50
1292,F,M,27722.77,57,5 Free Trades,20
1294,F,S,22152.22,34,2 Free Trades,10
1296,M,M,8360.84,39,5 Free Trades and Consult,50
1297,M,M,6110.61,58,5 Free Trades,20
1303,M,M,27422.74,23,5 Free Trades and Consult,50
1304,M,M,11961.2,25,5 Free Trades and Consult,50
1305,F,M,16011.6,10,2 Free Trades,10
1306,M,M,10361.04,57,5 Free Trades and Consult,50
1311,F,M,29642.96,90,5 Free Trades and Consult,50
1312,M,M,15251.53,70,5 Free Trades,20
1320,F,M,13721.37,11,5 Free Trades and Consult,50
1323,M,M,17481.75,39,2 Free Trades,10
1327,M,S,20412.04,80,5 Free Trades and Consult,50
1330,F,M,21942.19,256,2 Free Trades,10
1356,M,S,3760.38,5,5 Free Trades and Consult,50
1372,F,S,3670.37,25,5 Free Trades,20
1376,F,S,20922.09,9,5 Free Trades and Consult,50
1379,M,M,20832.08,117,5 Free Trades and Consult,50
1389,F,S,23502.35,10,5 Free Trades,20
1393,F,S,21332.13,87,2 Free Trades,10
1410,F,S,22382.24,40,2 Free Trades,10
1412,F,S,3750.38,11,5 Free Trades and Consult,50
1416,F,S,26682.67,9,2 Free Trades,10
1420,F,S,17001.7,137,2 Free Trades,10
1421,F,M,29862.99,52,2 Free Trades,10
1424,F,M,17061.71,41,5 Free Trades and Consult,50
1443,M,M,11961.2,25,2 Free Trades,10
1445,M,M,10361.04,57,5 Free Trades and Consult,50
1448,F,M,290.03,22,5 Free Trades,20
1452,M,S,5830.58,63,5 Free Trades and Consult,50
1458,F,M,15701.57,8,5 Free Trades and Consult,50
1464,M,M,4980.5,258,5 Free Trades,20
1465,F,S,14941.49,149,2 Free Trades,10
1467,F,S,12341.23,7,5 Free Trades and Consult,50
1475,F,M,45004.5,8,2 Free Trades,10
1476,F,M,690.07,112,5 Free Trades and Consult,50
1477,F,M,19241.92,118,5 Free Trades and Consult,50
1482,M,S,20862.09,19,5 Free Trades and Consult,50
1483,F,M,15321.53,6,5 Free Trades and Consult,50
1488,M,S,0,0,5 Free Trades and Consult,50
1489,M,M,9900.99,8,5 Free Trades and Consult,50
1493,F,M,2840.28,24,5 Free Trades and Consult,50
1494,F,M,22462.25,43,5 Free Trades and Consult,50
1496,M,S,3760.38,5,5 Free Trades and Consult,50
1499,F,M,22202.22,82,5 Free Trades and Consult,50
1504,F,S,25772.58,61,5 Free Trades and Consult,50
1506,F,S,14001.4,9,2 Free Trades,10
1509,F,M,13961.4,96,2 Free Trades,10
1511,F,M,29492.95,13,5 Free Trades and Consult,50
1512,F,S,3670.37,25,5 Free Trades,20
1520,F,M,21642.16,87,5 Free Trades and Consult,50
1527,M,S,29112.91,9,2 Free Trades,10
1528,F,S,13471.35,40,2 Free Trades,10
1530,F,M,16141.61,126,2 Free Trades,10
1532,F,M,7740.77,6,5 Free Trades and Consult,50
1538,M,M,12451.25,46,5 Free Trades and Consult,50
1565,F,M,10101.01,9,2 Free Trades,10
1568,F,S,3750.38,11,5 Free Trades,20
1569,M,S,25532.55,179,2 Free Trades,10
1570,F,M,29282.93,40,2 Free Trades,10
1577,F,M,27722.77,57,2 Free Trades,10
1580,F,S,22662.27,27,2 Free Trades,10
1583,F,S,22472.25,28,5 Free Trades,20
1584,M,M,13051.31,36,2 Free Trades,10
1597,F,M,6080.61,30,5 Free Trades and Consult,50
1598,F,M,17581.76,8,5 Free Trades and Consult,50
1602,F,M,15701.57,8,5 Free Trades and Consult,50
1611,F,S,12341.23,7,2 Free Trades,10
1618,F,M,59005.9,8,5 Free Trades and Consult,50
1622,F,S,10871.09,32,2 Free Trades,10
1624,F,M,8650.87,77,5 Free Trades,20
1628,F,M,8580.86,37,5 Free Trades and Consult,50
1636,F,M,2840.28,24,5 Free Trades,20
1638,F,M,1030.1,83,5 Free Trades,20
1640,F,S,20892.09,106,5 Free Trades and Consult,50
1643,M,M,11721.17,5,2 Free Trades,10
1653,F,M,21002.1,6,5 Free Trades and Consult,50
1655,F,S,3670.37,25,5 Free Trades,20
1658,F,S,3010.3,37,5 Free Trades,20
1659,F,S,20922.09,9,5 Free Trades and Consult,50
1661,F,M,18601.86,8,5 Free Trades and Consult,50
1665,F,M,490.05,15,5 Free Trades,20
1667,M,M,24242.42,5,2 Free Trades,10
1675,F,M,7740.77,6,5 Free Trades and Consult,50
1677,M,S,870.09,11,5 Free Trades,20
1681,M,M,12451.25,46,5 Free Trades and Consult,50
1682,M,M,26522.65,32,5 Free Trades and Consult,50
1685,M,D,9650.97,6,5 Free Trades,20
1687,M,M,22392.24,178,2 Free Trades,10
1688,M,S,11541.15,22,2 Free Trades,10
1697,M,M,22792.28,20,5 Free Trades and Consult,50
1701,F,S,22152.22,34,2 Free Trades,10
1706,M,M,13051.31,36,5 Free Trades and Consult,50
1708,M,M,27422.74,23,5 Free Trades and Consult,50
1715,F,M,25942.59,32,5 Free Trades and Consult,50
1716,M,M,5520.55,17,5 Free Trades and Consult,50
1721,F,M,17581.76,8,2 Free Trades,10
1728,M,M,3930.39,26,5 Free Trades and Consult,50
1732,M,M,4980.5,258,5 Free Trades and Consult,50
1747,F,M,8650.87,77,5 Free Trades,20
1748,M,S,20862.09,19,2 Free Trades,10
1759,F,M,22462.25,43,2 Free Trades,10
1760,F,M,1030.1,83,5 Free Trades,20
1761,M,S,3760.38,5,5 Free Trades and Consult,50
1778,M,M,20832.08,117,2 Free Trades,10
1786,M,S,29112.91,9,2 Free Trades,10
1788,F,S,23502.35,10,2 Free Trades,10
1792,M,S,21332.13,87,5 Free Trades and Consult,50
1793,M,S,870.09,11,5 Free Trades and Consult,50
1796,F,S,23562.36,206,5 Free Trades and Consult,50
1798,M,M,12451.25,46,5 Free Trades and Consult,50
1799,M,M,26522.65,32,2 Free Trades,10
1807,F,M,20452.05,39,2 Free Trades,10
1819,F,S,22662.27,27,2 Free Trades,10
1821,M,M,26992.7,13,2 Free Trades,10
1825,M,M,27422.74,23,5 Free Trades,20
1829,M,M,29432.94,10,5 Free Trades and Consult,50
1836,M,M,5830.58,63,5 Free Trades,20
1840,M,M,10911.09,93,2 Free Trades,10
1842,F,M,15701.57,8,5 Free Trades and Consult,50
1846,F,M,17481.75,39,2 Free Trades,10
1849,F,S,14941.49,149,5 Free Trades,20
1855,F,S,1520.15,29,5 Free Trades,20
1857,F,S,18941.89,25,2 Free Trades,10
1858,M,M,26402.64,17,5 Free Trades and Consult,50
1860,F,M,19241.92,118,5 Free Trades and Consult,50
1861,F,M,17011.7,27,5 Free Trades and Consult,50
1867,F,S,17491.75,106,5 Free Trades and Consult,50
1870,F,M,2400.24,50,5 Free Trades and Consult,50
1872,M,M,5590.56,23,5 Free Trades,20
1879,F,M,22202.22,82,2 Free Trades,10
1884,F,M,13961.4,96,5 Free Trades,20
1893,F,M,18601.86,8,5 Free Trades and Consult,50
1895,F,M,21642.16,87,5 Free Trades and Consult,50
1906,M,M,16021.6,114,5 Free Trades and Consult,50
1910,M,S,18021.8,136,2 Free Trades,10
1917,M,S,9650.97,6,5 Free Trades and Consult,50
1918,F,M,17441.74,49,5 Free Trades and Consult,50
1928,F,S,27972.8,58,5 Free Trades and Consult,50
1929,M,M,22792.28,20,5 Free Trades and Consult,50
1931,F,M,27722.77,57,2 Free Trades,10
1937,F,S,22472.25,28,5 Free Trades,20
1945,F,S,11911.19,95,5 Free Trades and Consult,50
1946,F,M,290.03,22,5 Free Trades and Consult,50
1948,F,M,29642.96,90,5 Free Trades and Consult,50
1950,F,M,5830.58,63,5 Free Trades and Consult,50
1958,F,S,25182.52,252,5 Free Trades and Consult,50
1966,F,S,12341.23,7,2 Free Trades,10
1969,F,M,21942.19,256,2 Free Trades,10
1970,F,S,28422.84,113,5 Free Trades and Consult,50
1979,M,M,24702.47,73,2 Free Trades,10
1984,F,M,19241.92,118,5 Free Trades and Consult,50
1987,F,S,10871.09,32,2 Free Trades,10
1992,M,M,3280.33,11,5 Free Trades,20
1995,M,D,3280.33,11,5 Free Trades and Consult,50
2000,F,S,17491.75,106,5 Free Trades and Consult,50
2001,F,M,8580.86,37,5 Free Trades,20
2004,F,M,2400.24,50,5 Free Trades and Consult,50
2005,M,M,12371.24,163,2 Free Trades,10
2006,M,M,24702.47,73,2 Free Trades,10
2007,M,M,4790.48,91,5 Free Trades and Consult,50
2011,M,M,24702.47,73,2 Free Trades,10
2013,M,M,3280.33,11,5 Free Trades and Consult,50
2015,F,M,0,0,5 Free Trades and Consult,50
2017,M,M,12371.24,163,5 Free Trades,20
2018,F,M,22462.25,43,2 Free Trades,10
2019,F,M,1030.1,83,5 Free Trades,20
2024,F,M,8560.86,99,5 Free Trades,20
2029,F,M,29492.95,13,5 Free Trades and Consult,50
2031,M,S,5030.5,76,5 Free Trades and Consult,50
2032,F,M,21412.14,85,2 Free Trades,10
2048,F,M,16141.61,126,2 Free Trades,10
2050,M,M,7740.77,6,5 Free Trades,20
2051,M,S,21332.13,87,2 Free Trades,10
2056,M,M,29782.98,45,5 Free Trades and Consult,50
2060,F,M,5030.5,23,5 Free Trades,20
2062,F,S,22172.22,13,2 Free Trades,10
2063,F,M,28922.89,45,5 Free Trades and Consult,50
