ID,TotalDollarValueTraded,TotalUnitsTraded,LargestSingleTransaction,SmallestSingleTransaction,PercentChangeCalculation,DaysSinceLastLogin,DaysSinceLastTrade,NetRealizedGains_YTD,NetRealizedLosses_YTD
46,24702.47,73,12351.235,1235.1235,18.25,3,9,0,1235.1235
47,9370.94,11,2342.735,234.2735,1.65,4,18,0,468.547
48,20532.05,41,10266.025,1026.6025,10.25,5,5,0,1026.6025
49,22862.29,16,11431.145,1143.1145,4,1,10,0,1143.1145
50,1900.19,25,475.0475,47.50475,3.75,3,19,0,95.0095
51,29442.94,104,14721.47,1472.147,26,5,10,1472.147,0
52,22382.24,40,11191.12,1119.112,10,2,7,0,1119.112
53,16041.6,10,8020.8,802.08,2.5,5,5,802.08,0
54,1000.1,11,250.025,25.0025,1.65,1,20,0,50.005
55,25532.55,179,12766.275,1276.6275,44.75,3,5,1276.6275,0
56,27972.8,58,13986.4,1398.64,14.5,1,10,1398.64,0
57,22792.28,20,11396.14,1139.614,5,1,8,1139.614,0
58,29862.99,52,14931.495,1493.1495,13,1,8,1493.1495,0
59,27722.77,57,13861.385,1386.1385,14.25,5,7,0,1386.1385
60,3040.3,44,760.075,76.0075,6.6,5,15,0,152.015
61,22152.22,34,11076.11,1107.611,8.5,2,5,0,1107.611
62,0,0,0,0,0,0,0,0,0
63,20592.06,112,10296.03,1029.603,28,1,8,1029.603,0
64,0,0,0,0,0,0,0,0,0
65,15541.55,12,7770.775,777.0775,3,2,9,0,777.0775
66,2000.2,12,500.05,50.005,1.8,1,11,0,50.005
67,22662.27,27,11331.135,1133.1135,6.75,3,8,1133.1135,0
68,28522.85,161,14261.425,1426.1425,40.25,3,8,0,1426.1425
69,6110.61,58,1527.6525,152.76525,8.7,5,16,0,305.5305
70,26992.7,13,13496.35,1349.635,3.25,4,8,1349.635,0
71,11631.16,115,5815.58,581.558,28.75,5,8,0,581.558
72,11551.16,15,5775.58,577.558,3.75,5,9,577.558,0
73,22472.25,28,11236.125,1123.6125,7,4,5,1123.6125,0
74,2010.2,150,502.55,50.255,22.5,3,13,0,50.255
75,13051.31,36,6525.655,652.5655,9,1,9,0,652.5655
76,29922.99,8,14961.495,1496.1495,2,1,7,1496.1495,0
77,680.07,10,170.0175,17.00175,1.5,2,10,0,17.00175
78,27422.74,23,13711.37,1371.137,5.75,5,10,0,1371.137
79,11961.2,25,5980.6,598.06,6.25,2,10,598.06,0
80,16011.6,10,8005.8,800.58,2.5,2,9,800.58,0
81,23232.32,80,11616.16,1161.616,20,3,10,0,1161.616
82,10361.04,57,5180.52,518.052,14.25,2,5,518.052,0
83,29432.94,10,14716.47,1471.647,2.5,2,10,0,1471.647
84,9840.98,62,2460.245,246.0245,9.3,1,20,0,492.049
85,29412.94,332,14706.47,1470.647,83,2,6,1470.647,0
86,11721.17,28,5860.585,586.0585,7,2,10,0,586.0585
87,11911.19,95,5955.595,595.5595,23.75,1,10,595.5595,0
88,21812.18,29,10906.09,1090.609,7.25,5,8,0,1090.609
89,23282.33,168,11641.165,1164.1165,42,4,6,0,1164.1165
90,27992.8,16,13996.4,1399.64,4,2,5,0,1399.64
91,290.03,22,72.5075,7.25075,3.3,5,12,0,7.25075
92,25942.59,32,12971.295,1297.1295,8,4,10,1297.1295,0
93,20712.07,23,10356.035,1035.6035,5.75,5,5,0,1035.6035
94,21322.13,35,10661.065,1066.1065,8.75,1,8,0,1066.1065
95,4190.42,114,1047.605,104.7605,17.1,4,16,0,209.521
96,7670.77,32,1917.6925,191.76925,4.8,1,10,0,191.76925
97,29642.96,90,14821.48,1482.148,22.5,3,7,0,1482.148
98,24072.41,27,12036.205,1203.6205,6.75,3,9,1203.6205,0
99,25872.59,68,12936.295,1293.6295,17,5,7,0,1293.6295
100,15251.53,70,7625.765,762.5765,17.5,3,6,762.5765,0
101,4580.46,8,1145.115,114.5115,1.2,2,18,0,229.023
102,6360.64,15,1590.16,159.016,2.25,1,12,0,159.016
103,570.06,23,142.515,14.2515,3.45,4,17,0,28.503
104,4910.49,6,1227.6225,122.76225,0.9,3,14,0,122.76225
105,2200.22,9,550.055,55.0055,1.35,3,11,0,55.0055
106,26392.64,103,13196.32,1319.632,25.75,3,6,0,1319.632
107,5830.58,63,1457.645,145.7645,9.45,2,19,0,291.529
108,6080.61,30,1520.1525,152.01525,4.5,2,18,0,304.0305
109,16601.66,113,8300.83,830.083,28.25,1,9,830.083,0
110,22432.24,41,11216.12,1121.612,10.25,3,8,1121.612,0
111,28262.83,38,14131.415,1413.1415,9.5,3,10,0,1413.1415
112,17581.76,8,8790.88,879.088,2,2,9,879.088,0
113,13561.36,144,6780.68,678.068,36,5,10,678.068,0
114,10911.09,93,5455.545,545.5545,23.25,1,6,545.5545,0
115,22482.25,151,11241.125,1124.1125,37.75,2,6,0,1124.1125
116,15701.57,8,7850.785,785.0785,2,3,8,785.0785,0
117,13721.37,11,6860.685,686.0685,2.75,3,9,0,686.0685
118,25002.5,10,12501.25,1250.125,2.5,1,10,0,1250.125
119,25182.52,252,12591.26,1259.126,63,1,7,0,1259.126
120,3930.39,26,982.5975,98.25975,3.9,1,13,0,98.25975
121,17481.75,39,8740.875,874.0875,9.75,3,10,874.0875,0
122,0,0,0,0,0,0,0,0,0
123,80.01,10,20.0025,2.00025,1.5,4,15,0,2.00025
124,22872.29,103,11436.145,1143.6145,25.75,2,9,1143.6145,0
125,22822.28,63,11411.14,1141.114,15.75,3,10,0,1141.114
126,25792.58,125,12896.29,1289.629,31.25,1,9,0,1289.629
127,20152.02,37,10076.01,1007.601,9.25,2,8,0,1007.601
128,21632.16,139,10816.08,1081.608,34.75,4,6,1081.608,0
129,6260.63,153,1565.1575,156.51575,22.95,4,11,0,156.51575
130,19281.93,14,9640.965,964.0965,3.5,3,9,0,964.0965
131,2020.2,36,505.05,50.505,5.4,1,10,0,50.505
132,7940.79,65,1985.1975,198.51975,9.75,2,19,0,397.0395
133,14941.49,149,7470.745,747.0745,37.25,5,8,747.0745,0
134,21972.2,19,10986.1,1098.61,4.75,1,8,0,1098.61
135,4970.5,18,1242.625,124.2625,2.7,4,20,0,248.525
136,11701.17,28,5850.585,585.0585,7,3,8,0,585.0585
137,0,0,0,0,0,0,0,0,0
138,18461.85,20,9230.925,923.0925,5,1,9,0,923.0925
139,29182.92,116,14591.46,1459.146,29,3,8,1459.146,0
140,27562.76,45,13781.38,1378.138,11.25,5,5,0,1378.138
141,10541.05,137,5270.525,527.0525,34.25,5,6,527.0525,0
142,23702.37,126,11851.185,1185.1185,31.5,4,10,1185.1185,0
143,0,0,0,0,0,0,0,0,0
144,2000.2,43,500.05,50.005,6.45,1,17,0,100.01
145,20412.04,80,10206.02,1020.602,20,1,5,0,1020.602
146,8320.83,55,2080.2075,208.02075,8.25,3,17,0,416.0415
147,14271.43,45,7135.715,713.5715,11.25,4,8,713.5715,0
148,22992.3,65,11496.15,1149.615,16.25,3,9,0,1149.615
149,12341.23,7,6170.615,617.0615,1.75,5,9,0,617.0615
150,27832.78,48,13916.39,1391.639,12,2,7,0,1391.639
151,22242.22,64,11121.11,1112.111,16,1,6,0,1112.111
152,14391.44,8,7195.72,719.572,2,3,7,0,719.572
153,29672.97,99,14836.485,1483.6485,24.75,2,5,1483.6485,0
154,16391.64,30,8195.82,819.582,7.5,5,7,0,819.582
155,26012.6,108,13006.3,1300.63,27,5,5,0,1300.63
156,22962.3,75,11481.15,1148.115,18.75,3,7,0,1148.115
157,8740.87,22,2185.2175,218.52175,3.3,3,16,0,437.0435
158,21942.19,256,10971.095,1097.1095,64,2,9,1097.1095,0
159,28422.84,113,14211.42,1421.142,28.25,3,8,1421.142,0
160,7700.77,43,1925.1925,192.51925,6.45,1,13,0,192.51925
161,14421.44,73,7210.72,721.072,18.25,1,9,721.072,0
162,20452.05,90,10226.025,1022.6025,22.5,1,10,0,1022.6025
163,16201.62,18,8100.81,810.081,4.5,2,8,0,810.081
164,29552.96,62,14776.48,1477.648,15.5,4,10,0,1477.648
165,17371.74,51,8685.87,868.587,12.75,3,7,0,868.587
166,0,0,0,0,0,0,0,0,0
167,18971.9,104,9485.95,948.595,26,2,10,948.595,0
168,170.02,10,42.505,4.2505,1.5,1,13,0,4.2505
169,15271.53,25,7635.765,763.5765,6.25,2,6,763.5765,0
170,29682.97,59,14841.485,1484.1485,14.75,5,8,1484.1485,0
171,18941.89,25,9470.945,947.0945,6.25,2,5,947.0945,0
172,26402.64,17,13201.32,1320.132,4.25,3,10,1320.132,0
173,410.04,208,102.51,10.251,31.2,3,14,0,10.251
174,23172.32,51,11586.16,1158.616,12.75,5,8,1158.616,0
175,4910.49,82,1227.6225,122.76225,12.3,1,16,0,245.5245
176,6690.67,43,1672.6675,167.26675,6.45,1,20,0,334.5335
177,6700.67,46,1675.1675,167.51675,6.9,5,18,0,335.0335
178,27282.73,93,13641.365,1364.1365,23.25,4,8,0,1364.1365
179,7720.77,9,1930.1925,193.01925,1.35,3,17,0,386.0385
180,0,0,0,0,0,0,0,0,0
181,26612.66,236,13306.33,1330.633,59,5,10,1330.633,0
182,7420.74,7,1855.185,185.5185,1.05,5,15,0,371.037
183,25032.5,54,12516.25,1251.625,13.5,1,9,0,1251.625
184,20012,84,10006,1000.6,21,3,9,0,1000.6
185,2540.25,164,635.0625,63.50625,24.6,2,15,0,127.0125
186,12891.29,53,6445.645,644.5645,13.25,5,6,0,644.5645
187,6900.69,128,1725.1725,172.51725,19.2,3,15,0,345.0345
188,0,0,0,0,0,0,0,0,0
189,1710.17,116,427.5425,42.75425,17.4,1,18,0,85.5085
190,7120.71,20,1780.1775,178.01775,3,5,14,0,178.01775
191,21682.17,17,10841.085,1084.1085,4.25,5,5,1084.1085,0
192,25772.58,8,12886.29,1288.629,2,4,5,1288.629,0
193,690.07,112,172.5175,17.25175,16.8,3,12,0,17.25175
194,0,0,0,0,0,0,0,0,0
195,24392.44,60,12196.22,1219.622,15,3,5,1219.622,0
196,10361.04,72,5180.52,518.052,18,1,5,518.052,0
197,27392.74,51,13696.37,1369.637,12.75,5,5,0,1369.637
198,29732.97,35,14866.485,1486.6485,8.75,4,8,1486.6485,0
199,20442.04,100,10221.02,1022.102,25,3,9,0,1022.102
200,7000.7,65,1750.175,175.0175,9.75,3,14,0,175.0175
201,19241.92,118,9620.96,962.096,29.5,3,7,0,962.096
202,17011.7,27,8505.85,850.585,6.75,4,10,0,850.585
203,10871.09,32,5435.545,543.5545,8,3,10,0,543.5545
204,21872.19,192,10936.095,1093.6095,48,1,5,1093.6095,0
205,8650.87,77,2162.7175,216.27175,11.55,5,18,0,432.5435
206,20862.09,19,10431.045,1043.1045,4.75,3,10,1043.1045,0
207,15321.53,6,7660.765,766.0765,1.5,5,9,0,766.0765
208,17491.75,106,8745.875,874.5875,26.5,3,10,0,874.5875
209,8580.86,37,2145.215,214.5215,5.55,3,15,0,429.043
210,11141.11,12,5570.555,557.0555,3,2,9,557.0555,0
211,2400.24,50,600.06,60.006,7.5,3,15,0,120.012
212,0,0,0,0,0,0,0,0,0
213,9900.99,8,2475.2475,247.52475,1.2,3,19,0,495.0495
214,5590.56,23,1397.64,139.764,3.45,4,19,0,279.528
215,29782.98,66,14891.49,1489.149,16.5,5,5,0,1489.149
216,27702.77,124,13851.385,1385.1385,31,4,9,1385.1385,0
217,0,0,0,0,0,0,0,0,0
218,28002.8,160,14001.4,1400.14,40,5,10,0,1400.14
219,2840.28,24,710.07,71.007,3.6,1,12,0,71.007
220,22462.25,43,11231.125,1123.1125,10.75,5,7,1123.1125,0
221,1030.1,83,257.525,25.7525,12.45,5,11,0,25.7525
222,3760.38,5,940.095,94.0095,0.75,5,17,0,188.019
223,20892.09,106,10446.045,1044.6045,26.5,1,8,1044.6045,0
224,30003,262,15001.5,1500.15,65.5,3,8,1500.15,0
225,22202.22,82,11101.11,1110.111,20.5,4,10,0,1110.111
226,11721.17,5,5860.585,586.0585,1.25,2,10,0,586.0585
227,40004,99,20002,2000.2,24.75,1,10,2000.2,0
228,26002.6,26,13001.3,1300.13,6.5,3,8,0,1300.13
229,27002.7,154,13501.35,1350.135,38.5,5,9,0,1350.135
230,26002.6,61,13001.3,1300.13,15.25,5,9,0,1300.13
231,33003.3,35,16501.65,1650.165,8.75,1,9,1650.165,0
232,33003.3,9,16501.65,1650.165,2.25,5,5,0,1650.165
233,37003.7,38,18501.85,1850.185,9.5,1,9,0,1850.185
234,28452.85,106,14226.425,1422.6425,26.5,5,7,0,1422.6425
235,13961.4,96,6980.7,698.07,24,4,7,698.07,0
236,21002.1,6,10501.05,1050.105,1.5,5,10,0,1050.105
237,29492.95,13,14746.475,1474.6475,3.25,1,10,1474.6475,0
238,14001.4,88,7000.7,700.07,22,2,9,700.07,0
239,6780.68,132,1695.17,169.517,19.8,1,16,0,339.034
240,11811.18,5,5905.59,590.559,1.25,5,9,590.559,0
241,3670.37,25,917.5925,91.75925,3.75,5,14,0,91.75925
242,14161.42,214,7080.71,708.071,53.5,3,8,0,708.071
243,3000.3,100,750.075,75.0075,15,3,15,0,75.0075
244,7000.7,40,1750.175,175.0175,6,4,18,0,350.035
245,8000.8,6,2000.2,200.02,0.9,2,13,0,200.02
246,9000.9,49,2250.225,225.0225,7.35,3,15,0,450.045
247,7000.7,43,1750.175,175.0175,6.45,2,12,0,175.0175
248,28112.81,17,14056.405,1405.6405,4.25,5,6,1405.6405,0
249,12401.24,89,6200.62,620.062,22.25,3,8,0,620.062
250,12231.22,45,6115.61,611.561,11.25,5,10,0,611.561
251,12861.29,18,6430.645,643.0645,4.5,3,5,643.0645,0
252,2330.23,23,582.5575,58.25575,3.45,1,17,0,116.5115
253,5030.5,76,1257.625,125.7625,11.4,5,15,0,251.525
254,21412.14,85,10706.07,1070.607,21.25,5,9,1070.607,0
255,3010.3,37,752.575,75.2575,5.55,1,13,0,75.2575
256,20922.09,9,10461.045,1046.1045,2.25,3,10,1046.1045,0
257,3300.33,40,825.0825,82.50825,6,3,17,0,165.0165
258,18601.86,8,9300.93,930.093,2,2,5,930.093,0
259,20832.08,117,10416.04,1041.604,29.25,1,10,0,1041.604
260,21642.16,87,10821.08,1082.108,21.75,4,8,1082.108,0
261,13351.34,8,6675.67,667.567,2,1,7,0,667.567
262,490.05,15,122.5125,12.25125,2.25,4,18,0,24.5025
263,28702.87,60,14351.435,1435.1435,15,3,6,0,1435.1435
264,24242.42,5,12121.21,1212.121,1.25,5,9,1212.121,0
265,28822.88,97,14411.44,1441.144,24.25,3,8,0,1441.144
266,29932.99,40,14966.495,1496.6495,10,1,6,0,1496.6495
267,29112.91,9,14556.455,1455.6455,2.25,4,8,1455.6455,0
268,13471.35,40,6735.675,673.5675,10,3,5,673.5675,0
269,23502.35,10,11751.175,1175.1175,2.5,2,5,0,1175.1175
270,16141.61,126,8070.805,807.0805,31.5,1,8,0,807.0805
271,16021.6,114,8010.8,801.08,28.5,1,8,0,801.08
272,7740.77,6,1935.1925,193.51925,0.9,2,15,0,387.0385
273,21332.13,87,10666.065,1066.6065,21.75,2,10,1066.6065,0
274,870.09,11,217.5225,21.75225,1.65,4,17,0,43.5045
275,18021.8,136,9010.9,901.09,34,2,10,0,901.09
276,8090.81,13,2022.7025,202.27025,1.95,2,12,0,202.27025
277,23562.36,206,11781.18,1178.118,51.5,5,7,0,1178.118
278,29782.98,45,14891.49,1489.149,11.25,1,10,1489.149,0
279,24812.48,22,12406.24,1240.624,5.5,5,8,0,1240.624
280,26132.61,32,13066.305,1306.6305,8,4,8,0,1306.6305
281,5030.5,23,1257.625,125.7625,3.45,1,11,0,125.7625
282,12451.25,46,6225.625,622.5625,11.5,2,8,622.5625,0
283,26522.65,32,13261.325,1326.1325,8,3,8,1326.1325,0
284,20222.02,13,10111.01,1011.101,3.25,4,5,1011.101,0
285,9380.94,38,2345.235,234.5235,5.7,4,18,0,469.047
286,9650.97,6,2412.7425,241.27425,0.9,2,10,0,241.27425
287,17441.74,49,8720.87,872.087,12.25,4,7,872.087,0
288,22392.24,178,11196.12,1119.612,44.5,3,8,1119.612,0
289,370.04,28,92.51,9.251,4.2,1,14,0,9.251
290,22172.22,13,11086.11,1108.611,3.25,2,10,1108.611,0
291,28922.89,45,14461.445,1446.1445,11.25,2,8,0,1446.1445
292,26492.65,12,13246.325,1324.6325,3,1,9,0,1324.6325
293,13191.32,87,6595.66,659.566,21.75,2,7,0,659.566
294,13321.33,56,6660.665,666.0665,14,4,5,666.0665,0
295,11541.15,22,5770.575,577.0575,5.5,3,10,577.0575,0
296,14831.48,25,7415.74,741.574,6.25,1,5,0,741.574
297,20952.1,15,10476.05,1047.605,3.75,2,8,1047.605,0
298,4790.48,91,1197.62,119.762,13.65,3,10,0,119.762
299,16791.68,81,8395.84,839.584,20.25,5,5,0,839.584
300,3280.33,11,820.0825,82.00825,1.65,1,17,0,164.0165
301,11051.11,50,5525.555,552.5555,12.5,2,10,552.5555,0
302,21372.14,293,10686.07,1068.607,73.25,5,9,1068.607,0
303,0,0,0,0,0,0,0,0,0
304,12371.24,163,6185.62,618.562,40.75,3,8,0,618.562
305,0,0,0,0,0,0,0,0,0
306,18311.83,59,9155.915,915.5915,14.75,1,5,915.5915,0
307,20452.05,39,10226.025,1022.6025,9.75,1,6,1022.6025,0
308,26912.69,9,13456.345,1345.6345,2.25,2,7,0,1345.6345
309,28822.88,13,14411.44,1441.144,3.25,4,8,0,1441.144
310,23762.38,50,11881.19,1188.119,12.5,3,6,1188.119,0
311,9570.96,111,2392.74,239.274,16.65,3,12,0,239.274
312,20972.1,13,10486.05,1048.605,3.25,4,9,1048.605,0
313,11701.17,47,5850.585,585.0585,11.75,3,7,0,585.0585
314,14221.42,10,7110.71,711.071,2.5,1,9,711.071,0
315,18851.89,31,9425.945,942.5945,7.75,4,6,942.5945,0
316,16801.68,56,8400.84,840.084,14,3,5,840.084,0
317,15591.56,24,7795.78,779.578,6,3,9,0,779.578
318,8210.82,45,2052.705,205.2705,6.75,3,13,0,205.2705
319,11641.16,74,5820.58,582.058,18.5,1,6,582.058,0
320,16211.62,125,8105.81,810.581,31.25,5,5,810.581,0
321,24702.47,73,12351.235,1235.1235,18.25,2,9,0,1235.1235
322,9370.94,11,2342.735,234.2735,1.65,2,10,0,234.2735
323,20532.05,41,10266.025,1026.6025,10.25,2,10,0,1026.6025
324,22862.29,16,11431.145,1143.1145,4,4,5,0,1143.1145
325,1900.19,25,475.0475,47.50475,3.75,3,13,0,47.50475
326,29442.94,104,14721.47,1472.147,26,1,5,1472.147,0
327,22382.24,40,11191.12,1119.112,10,5,8,0,1119.112
328,16041.6,10,8020.8,802.08,2.5,3,9,0,802.08
329,3750.38,11,937.595,93.7595,1.65,1,14,0,93.7595
330,25532.55,179,12766.275,1276.6275,44.75,4,8,0,1276.6275
331,27972.8,58,13986.4,1398.64,14.5,1,9,1398.64,0
332,22792.28,20,11396.14,1139.614,5,4,6,1139.614,0
333,29862.99,52,14931.495,1493.1495,13,5,8,0,1493.1495
334,27722.77,57,13861.385,1386.1385,14.25,1,5,0,1386.1385
335,3040.3,44,760.075,76.0075,6.6,2,20,0,152.015
336,22152.22,34,11076.11,1107.611,8.5,4,8,0,1107.611
337,20592.06,112,10296.03,1029.603,28,2,7,1029.603,0
338,0,0,0,0,0,0,0,0,0
339,15541.55,12,7770.775,777.0775,3,4,5,0,777.0775
340,2000.2,12,500.05,50.005,1.8,4,17,0,100.01
341,22662.27,27,11331.135,1133.1135,6.75,5,7,1133.1135,0
342,28522.85,161,14261.425,1426.1425,40.25,3,9,1426.1425,0
343,6110.61,58,1527.6525,152.76525,8.7,1,19,0,305.5305
344,2650.27,17,662.5675,66.25675,2.55,4,17,0,132.5135
345,26992.7,13,13496.35,1349.635,3.25,1,6,0,1349.635
346,11631.16,115,5815.58,581.558,28.75,3,5,581.558,0
347,11551.16,15,5775.58,577.558,3.75,3,6,577.558,0
348,22472.25,28,11236.125,1123.6125,7,5,9,0,1123.6125
349,2010.2,150,502.55,50.255,22.5,2,15,0,50.255
350,13051.31,36,6525.655,652.5655,9,4,8,0,652.5655
351,29922.99,8,14961.495,1496.1495,2,3,9,1496.1495,0
352,680.07,10,170.0175,17.00175,1.5,1,18,0,34.0035
353,27422.74,23,13711.37,1371.137,5.75,1,6,0,1371.137
354,11961.2,25,5980.6,598.06,6.25,3,8,0,598.06
355,16011.6,10,8005.8,800.58,2.5,3,7,0,800.58
356,23232.32,80,11616.16,1161.616,20,5,7,0,1161.616
357,10361.04,57,5180.52,518.052,14.25,3,10,0,518.052
358,29432.94,10,14716.47,1471.647,2.5,3,7,1471.647,0
359,9840.98,62,2460.245,246.0245,9.3,1,15,0,492.049
360,29412.94,332,14706.47,1470.647,83,3,5,1470.647,0
361,11721.17,28,5860.585,586.0585,7,1,7,0,586.0585
362,11911.19,95,5955.595,595.5595,23.75,4,6,595.5595,0
363,21812.18,29,10906.09,1090.609,7.25,1,9,1090.609,0
364,9750.98,47,2437.745,243.7745,7.05,5,15,0,487.549
365,23282.33,168,11641.165,1164.1165,42,2,10,0,1164.1165
366,27992.8,16,13996.4,1399.64,4,1,9,0,1399.64
367,290.03,22,72.5075,7.25075,3.3,4,17,0,14.5015
368,25942.59,32,12971.295,1297.1295,8,5,10,0,1297.1295
369,20712.07,23,10356.035,1035.6035,5.75,1,6,0,1035.6035
370,21322.13,35,10661.065,1066.1065,8.75,5,5,0,1066.1065
371,4190.42,114,1047.605,104.7605,17.1,1,16,0,209.521
372,29642.96,90,14821.48,1482.148,22.5,2,6,1482.148,0
373,24072.41,27,12036.205,1203.6205,6.75,3,10,1203.6205,0
374,25872.59,68,12936.295,1293.6295,17,2,10,0,1293.6295
375,15251.53,70,7625.765,762.5765,17.5,3,8,762.5765,0
376,4580.46,8,1145.115,114.5115,1.2,5,13,0,114.5115
377,6360.64,15,1590.16,159.016,2.25,4,15,0,318.032
378,570.06,23,142.515,14.2515,3.45,5,15,0,28.503
379,4910.49,6,1227.6225,122.76225,0.9,4,12,0,122.76225
380,2200.22,9,550.055,55.0055,1.35,4,18,0,110.011
381,26392.64,103,13196.32,1319.632,25.75,4,7,0,1319.632
382,5830.58,63,1457.645,145.7645,9.45,1,14,0,145.7645
383,6080.61,30,1520.1525,152.01525,4.5,1,11,0,152.01525
384,16601.66,113,8300.83,830.083,28.25,2,5,830.083,0
385,22432.24,41,11216.12,1121.612,10.25,3,5,1121.612,0
386,28262.83,38,14131.415,1413.1415,9.5,5,8,1413.1415,0
387,17581.76,8,8790.88,879.088,2,5,10,879.088,0
388,13561.36,144,6780.68,678.068,36,1,10,678.068,0
389,10911.09,93,5455.545,545.5545,23.25,3,6,545.5545,0
390,22482.25,151,11241.125,1124.1125,37.75,4,8,1124.1125,0
391,15701.57,8,7850.785,785.0785,2,5,9,0,785.0785
392,13721.37,11,6860.685,686.0685,2.75,1,6,0,686.0685
393,25002.5,10,12501.25,1250.125,2.5,5,9,1250.125,0
394,25182.52,252,12591.26,1259.126,63,1,6,0,1259.126
395,3930.39,26,982.5975,98.25975,3.9,5,19,0,196.5195
396,17481.75,39,8740.875,874.0875,9.75,2,10,0,874.0875
397,0,0,0,0,0,0,0,0,0
398,80.01,10,20.0025,2.00025,1.5,2,10,0,2.00025
399,22872.29,103,11436.145,1143.6145,25.75,4,6,0,1143.6145
400,22822.28,63,11411.14,1141.114,15.75,1,9,1141.114,0
401,4980.5,258,1245.125,124.5125,38.7,3,14,0,124.5125
402,25792.58,125,12896.29,1289.629,31.25,4,7,0,1289.629
403,20152.02,37,10076.01,1007.601,9.25,2,7,0,1007.601
404,21632.16,139,10816.08,1081.608,34.75,3,10,1081.608,0
405,19281.93,14,9640.965,964.0965,3.5,2,5,964.0965,0
406,2020.2,36,505.05,50.505,5.4,3,10,0,50.505
407,7940.79,65,1985.1975,198.51975,9.75,3,19,0,397.0395
408,14941.49,149,7470.745,747.0745,37.25,4,10,747.0745,0
409,21972.2,19,10986.1,1098.61,4.75,5,9,1098.61,0
410,4970.5,18,1242.625,124.2625,2.7,3,12,0,124.2625
411,11701.17,28,5850.585,585.0585,7,3,7,585.0585,0
412,0,0,0,0,0,0,0,0,0
413,18461.85,20,9230.925,923.0925,5,3,10,923.0925,0
414,29182.92,116,14591.46,1459.146,29,1,8,1459.146,0
415,27562.76,45,13781.38,1378.138,11.25,4,9,0,1378.138
416,10541.05,137,5270.525,527.0525,34.25,3,6,0,527.0525
417,23702.37,126,11851.185,1185.1185,31.5,5,9,1185.1185,0
418,0,0,0,0,0,0,0,0,0
419,2000.2,43,500.05,50.005,6.45,3,19,0,100.01
